text,label
voltase nya turun panel ada  tetapi ada  penel yang tidak bisa mengangkat daya jadi sebagian listrik padam,-1
voltase naik turun berakhibat mcb turun jeglek elektronik rumah ac kulkas sering rusak belum ada perbaikan dari pln,-1
voltase turun perangkat ac saya tidak bekerja dengan baik,-1
listrik mati tengga kanan kirimi menyala,-1
pulsa tidak bisa masuk,-1
PELANGGAN PENGAJUAN PINDAH APP DIKARENAKAN RENOVASI PELANGGAN BERADA DI LOKASI SAMPAI DENGAN PUKUL ,-1
 mohon bantuanya listrik ad gangguan,-1
 RUMAH SERING PADAM,-1
info kapan di pasang pelunasan tgl ,-1
voltase drop kisaran  volt,-1
listrik jeglek terus,-1
sering mati lampu di beberapa rumah termasuk rumah saya sering sekali,-1
Listrik voltase nya naik turun bohlam sebentar nyala sebentar matikipas angin mati karena voltase naik turun,-1
Voltase Turun Naik  Lampu Mati Nyala mati Nyala Sudah  jam,-1
alarm token habis gak bunyii,-1
saya membeli token listrik sebesar  tetapi salah id pelanggan apkah saya masih refund atau bisa dialihkan ke kode id pln saya sehingga token yg saya beli tidak hangus terimakasih,-1
say beli token senilai  tapi ternyata saya beli salah nonid pln apakah bisa dibantu untuk refund atau bisa dibantu untuk merubah ke no id pln saya agar token listrik yg saya beli tidak hangus,-1
saya beli token listrik sebesar rb ketika mau dimasukan tokennya ternyata salah nomer id pln apakah bisa dibantu untuk mengembalikan dana atau bisa diganti ke no id pln saya sehingga token tidak hangus,-1
LAPORAN SEBELUMNYA K PELANGGAN DAFTAR PD PROMO BT VA KE BT  VA NO REGISTER  BP LUNAS PADA TGL  SUDAH ADA SURVEY OLEH PETUGAS TGL  NAMUN HINGGA SAAT INI BELUM REALISASI  PELANGGAN DIINFOKAN BAHWA ULP TIDAK MELAYANI DAYA  VA DAN MENYARANKAN PELANGGAN DAFTAR KE LISTRIK  PHASE SEPERTI  VA   VA SEDANGKAN YBS TIDAK BERKENANHANYA BERKENANNYA  VA,-1
Pulsa tidak bisa masukada tulisan Perika,-1
voltase durung g biza pake kerja,-1
gak bisa masukan nomer token,-1
token listrik habis tidak bisa di isi kondisi listrik padam,-1
isi token gagal terus,-1
pengaduan tagihan,-1
token tidak bisa masuk,-1
meter trobel,-1
MCB lemahsebelumnya sudah membuat laporan ke listrique setelah dianalisa ternyata permasalahannya di MCB lemah karena sepanjang pagi hingga siang ini beberapa kali jeglekpadam secara random padahal biasanya tidak pernah terjadi,-1
mat siang kak ini gangguan muncul priksa GK bisa di isi pulsa alarem udah bunyi bantuanya ya kak di tunggu swn,-1
Speedometer mati,-1
TANGGAL  PTL DIPUTUS SEMENTARA DAN TANGGAL  TAGIHAN BULAN MARET  BESERTA BK TELAH DILUNASI  PTL MINTA DISAMBUNG KEMBALI   APP DIAMBIL PETUGAS,-1
token gagal dimasukkan,-1
PELANGGAN KONFIRMASI KWH METER DIBAWA PETUGAS KARENA GANGGUAN G   RUMAH PADAM PRABAYAR DISPLAY APP PADAMBLANK  SEJAK TANGGAL  TIDAK MENDAPAT BERITA ACARA PEMBERITAHUAN AKAN TETAPI BELUM ADA PEMASANGAN KEMBALI KONDISI RUMAH DIHUNI,-1
muncul tulisan periksa pada meteran listrik mohon kirimkan kode clear tamper ke no wa ,-1
muncul tulisan periksa pada meteran listrik mohon kirimkan kode clear tamper ke no wa ,-1
muncul tulisan periksa pada meteran listrik mohon kirimkan kode clear tamper ke no wa ,-1
KELUHAN BERULANG  K DAN K TGL   PROSES PB RMT VA MELALUI PLN MOBILE DENGAN KODE AGENDA    TGL BP DAN STROOM AWAL TELAH DILUNASI MOHON UNTUK SEGERA DIREALISASIKAN,-1
permasalahan kemungkinan pada meteran listrik sudah  hari ini listrik sering jeglek dengan interval kurang lebih  jam sekali dugaan kami sepertinya meteran listrik yg bermasalah saandainya ada konsleting listrik tentu tidak akan bisa dinyalakan lagi terima kasih,-1
sering mati lampu apalagi saat hujan sudah pasti mati lampu,-1
kwh muncul periksa,-1
KELUHAN BERULANG  K TGL   PROSES PB RMT VA MELALUI PLN MOBILE DENGAN KODE AGENDA    TGL BP DAN STROOM AWAL TELAH DILUNASI MOHON UNTUK SEGERA DIREALISASIKAN PENYAMBUNGAN,-1
TGL   PROSES PB RMT VA MELALUI PLN MOBILE DENGAN KODE AGENDA    TGL BP DAN STROOM AWAL TELAH DILUNASI MOHON UNTUK SEGERA DIREALISASIKAN PENYAMBUNGAN,-1
TGL   PROSES PB RMT VA MELALUI PLN MOBILE DENGAN KODE AGENDA    TGL BP DAN STROOM AWAL TELAH DILUNASI MOHON UNTUK SEGERA DIREALISASIKAN PENYAMBUNGAN,-1
MOHON BANTUAN TINDAK LANJUT ANGKA COUNTER PADA APP TIDAK BEROPERASI SEJAK  BULAN LALU PTL MENYALA ANGKA METER TANGGAL       ,-1
kwh meter saya berbunyi terus dan ada tulisan RUSAK dimonitor kwh,-1
listrik kok turun daya aja mau pakai AC Ndak bisa dingin ini solusinya gimana,-1
listrik kok turun daya aja mau pakek AC gak bisa dingin,-1
meteran tulisan periksa,-1
DI WILAYAH TERSEBUT PTL SERING DROP DALAM  MINGGU TERAKHIR SETIAP HARI MENGALAMI DROP,-1
PELANGGAN TIDAK BISA INPUT TOKEN SETELAH UPDATE VKRN   PTL NYALA SISA KWH TIDAK DIKETAHUI NO TOKEN     ,-1
meteran keluar asap,-1
listrik padam,-1
mau memindahkan meteran listrik dikarenakan renovasi rumah,-1
pembanyaran bulan ini terlalu banyak dari biasanya padahal tidak ada penambahan kebutuhan listrik sama kayak bulan lalu tapi knpa bulan ini pembanyarannya melejit x lipat,-1
pembayaran bulan ini terlalu banyak tidak seperti bulan lalu  tidak ada penambahan listrik knpa pembayarannya bisa banyak ,-1
KELUHAN BERULANG  KPELANGGAN DAFTAR PD PROMO BT VA KE BT  VA NO REGISTER  BP LUNAS PADA TGL  SUDAH ADA SURVEY OLEH PETUGAS TGL  NAMUN HINGGA SAAT INI BELUM REALISASI  PELANGGAN DIINFOKAN BAHWA ULP TIDAK MELAYANI DAYA  VA DAN MENYARANKAN PELANGGAN DAFTAR KE LISTRIK  PHASE SEPERTI  VA   VA SEDANGKAN YBS TIDAK BERKENAN MOHON SOLUSI DAR PLN SETEMPAT,-1
kwh keluar periksa sama ada dad tangannya,-1
 PELANGGAN  PENDAFTARAN PD TARIF  BT  NOMER AGENDA  NO REGISTER    BP LUNAS PADA TGL    SEMPAT ADA SURVEY OLEH PETUGAS TGL    NAMUN HINGGA SAAT INI BELUM REALISASI  DITUNGGU KEJELASAN KE CP ,-1
tegangan drop sejalur,-1
TANGGAL  PENGGANTIAN APP RUSAK KEMUDIAN DIGANTI DENGAN DENGAN NOMOR METER BARU  PELANGGAN ADA PEMBELIAN PULSA TOKEN TANGGAL  NOMER TOKEN      BELUM DIENTRYKAN KE APP YANG LAMA,-1
 mohon bantuanya listrik buram minta ganti biar jelas d kontrol,-1
meteran prabayar kedipkedip layar gk gelas tombol gk fungsimohon di ganti baru,-1
kenapa nomer meter saya kok tidak bisa di ubah dayadan keterangan selesaikan proses pengajuan LU LAY LC CCFARISYSM INFO UBAH TARIF SUDAH DIJELASKAN PLN,-1
listrik sering Nyala mati nyala mati,-1
TGL  PENANGANAN GANGGUAN DENGAN CARA SAMBUNG LANGSUNG DENGAN NO LAPORAN GANGGUAN G PELANGGAN TIDAK MENERIMA BA MOHON AGAR SEGERA DAPAT DIDILAKUKAN PENORMALAN PTL NYALA,-1
voltase listrik naik turu tidak bisa di buat kerja mohon di perbaiki,-1
saklar meteran listrik kadang on of lampu indikator saklar berkedip pemakain biasa meteran pakai pulsa mohon pemeriksaanya,-1
voltase naik turun tidak bisa di buat kerja,-1
